GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
request-service,com.stationery.request.controller,RequestController,6,71,0,0,1,8,1,8,1,8
request-service,com.stationery.request,RequestServiceApplication,5,3,0,0,2,1,1,1,1,1
request-service,com.stationery.request.service,RequestServiceImpl,0,197,4,12,0,41,4,14,0,10
request-service,com.stationery.request.dto,RequestDto,0,17,0,0,0,5,0,5,0,5
request-service,com.stationery.request.exception,GlobalExceptionHandler,0,48,0,0,0,11,0,4,0,4
request-service,com.stationery.request.entity,RequestGroup,8,20,0,0,3,6,2,6,2,6
request-service,com.stationery.request.entity,Request,15,66,3,1,5,17,4,17,2,17
