GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inventory-service,com.stationery.inventory.exception,GlobalExceptionHandler,0,48,0,0,0,11,0,4,0,4
inventory-service,com.stationery.inventory.controller,ItemController,20,52,0,0,3,9,3,7,3,7
inventory-service,com.stationery.inventory.entity,AuditLog,30,19,0,0,10,5,9,5,9,5
inventory-service,com.stationery.inventory.entity,StationeryItem,11,59,0,0,5,17,2,17,2,17
inventory-service,com.stationery.inventory.service,ItemServiceImpl,37,140,0,2,7,32,5,8,5,7
inventory-service,com.stationery.inventory,InventoryServiceApplication,5,3,0,0,2,1,1,1,1,1
